,head_label,tail_label,head_name,tail_name,ans
46,AB13109,BA6032,雪紡翻領假兩件挖肩條紋上衣,質感修身輕柔磨毛直筒寬版長褲,fit
47,AB13109,KG0952,雪紡翻領假兩件挖肩條紋上衣,甜美浪漫配色腰鬆緊雪紡長裙,not_fit
48,AB13109,BA5948,雪紡翻領假兩件挖肩條紋上衣,韓系修身剪裁刷色抽鬚彈力丹寧小喇叭褲,fit
49,AB13109,BA5941,雪紡翻領假兩件挖肩條紋上衣,高彈牛仔高腰收腹刷破鬚邊反折緊身長褲,fit
50,AB13109,MA0358,雪紡翻領假兩件挖肩條紋上衣,魔術360~內磨毛彈力孕婦牛仔褲/孕婦褲,wrong
51,AB13109,BA5867,雪紡翻領假兩件挖肩條紋上衣,纖長比例修身鬆緊高彈小喇叭長褲,fit
52,AB13109,FA2305,雪紡翻領假兩件挖肩條紋上衣,溫暖包芯紗坑條質感配色百褶貼身中長裙,fit
53,AB13109,KL1007,雪紡翻領假兩件挖肩條紋上衣,撞色織條彈性腰頭縮口休閒褲,wrong
54,AB13109,CA2126,雪紡翻領假兩件挖肩條紋上衣,純色後鬆緊不對稱荷葉拼接傘擺長裙,fit
55,AB13109,CA2142,雪紡翻領假兩件挖肩條紋上衣,臧芮軒。雪紡珍珠裝飾開衩A字中裙褲裙,fit
56,AB13109,CA2219,雪紡翻領假兩件挖肩條紋上衣,優雅層次配色腰鬆緊A字壓褶裙,not_fit
57,AB13109,QA1152,雪紡翻領假兩件挖肩條紋上衣,後開衩率性抽鬚彈力牛仔褲,wrong
58,AB13109,KG0889,雪紡翻領假兩件挖肩條紋上衣,印花運動縮口長褲,not_fit
59,AB13109,CA2138,雪紡翻領假兩件挖肩條紋上衣,保暖毛呢學院文青風配色格紋內裡褲百褶短裙,not_fit
60,AB13195,KG0961,緞面微光交衩造型綁帶設計連袖長版上衣,側邊丹寧配色腰鬆緊抽繩長褲,not_fit
61,AB13195,KS0786,緞面微光交衩造型綁帶設計連袖長版上衣,台灣製造．彈力造型口袋褲腳拉鍊運動貼腿褲,not_fit
62,AB13195,BA5895,緞面微光交衩造型綁帶設計連袖長版上衣,彈力修身牛仔刷色抽鬚小喇叭褲,fit
63,AB13195,BA5917,緞面微光交衩造型綁帶設計連袖長版上衣,高含棉．簡約直筒斜紋寬褲,fit
64,AB13195,CA2100,緞面微光交衩造型綁帶設計連袖長版上衣,簡約質感純色打褶側拉鍊中長A字裙,not_fit
65,AB13195,BA5936,緞面微光交衩造型綁帶設計連袖長版上衣,彈性內磨毛後鬆緊微喇叭個性褲口牛仔褲,fit
66,AB13195,BA5894,緞面微光交衩造型綁帶設計連袖長版上衣,輕暖內刷毛．仿舊水洗刷破丹寧窄管褲,fit
67,AB13195,CA2126,緞面微光交衩造型綁帶設計連袖長版上衣,純色後鬆緊不對稱荷葉拼接傘擺長裙,not_fit
68,AB13195,BA5873,緞面微光交衩造型綁帶設計連袖長版上衣,視覺-5KG。時尚修身高彈高腰收腹腰鬆緊喇叭長褲,fit
69,AB13195,MA0365,緞面微光交衩造型綁帶設計連袖長版上衣,魔術360~坑條壓紋休閒孕婦寬褲/孕婦褲,wrong
70,AB13195,CA2161,緞面微光交衩造型綁帶設計連袖長版上衣,質感厚雪紡不易皺交衩撞色A字裙,not_fit
71,AB13195,KS0788,緞面微光交衩造型綁帶設計連袖長版上衣,台灣製造．彈力腰鬆緊褲腳抽繩運動長褲,not_fit
72,AB13195,CA2206,緞面微光交衩造型綁帶設計連袖長版上衣,質感光澤壓紋修身腰鬆緊傘擺長裙,not_fit
73,AB13195,KB1151,緞面微光交衩造型綁帶設計連袖長版上衣,KITTY聖誕系列~純棉口袋印圖後腰鬆緊排釦中長裙,not_fit
74,AB13195,BA5888,緞面微光交衩造型綁帶設計連袖長版上衣,高含棉高腰收腹雙排釦造型拼接直筒長褲,fit
75,AB13195,KB1113,緞面微光交衩造型綁帶設計連袖長版上衣,KITTY露營系列~刷破水洗不收邊褲管丹寧印圖吊帶褲,not_fit
76,AB13195,BA6040,緞面微光交衩造型綁帶設計連袖長版上衣,假兩件．排釦短裙拼接彈性斜紋窄管褲,not_fit
77,AB13195,BA5892,緞面微光交衩造型綁帶設計連袖長版上衣,高腰彈力舒爽抽鬚造型腰頭緊身窄管牛仔長褲,fit
78,AB13195,BA5987,緞面微光交衩造型綁帶設計連袖長版上衣,高含棉彈力皮革高腰排釦直筒長褲,fit
79,AB13195,BA5926,緞面微光交衩造型綁帶設計連袖長版上衣,舒適彈力緊身丹寧窄管長褲,fit
80,AB13324,BA5946,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,高彈力修身牛仔哈倫長褲,fit
81,AB13324,BA5899,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,高彈力高腰排扣抓破抽鬚緊身長褲,fit
82,AB13324,BA5885,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,保暖高彈修身牛仔收腹內刷毛緊身長褲,fit
83,AB13324,CA2219,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,優雅層次配色腰鬆緊A字壓褶裙,fit
84,AB13324,QA1185,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,餅乾格造型車縫彈力好動褲/長褲,wrong
85,AB13324,CA2107,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,韓系造型綁結純色A字短褲裙,fit
86,AB13324,CA2065,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,臧芮軒。滿版復古碎花撞色織帶蛋糕裙,fit
87,AB13324,CA2178,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,層次拼接線條紋路A字短裙(褲裡),fit
88,AB13324,BA6075,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,造型袋蓋排釦裙片後腰鬆緊褲裙,fit
89,AB13324,BA5949,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,韓系彈力造型腰頭雙釦設計刷色窄管牛仔褲,fit
90,AB13324,CA2199,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,迷人豹紋印花厚雪紡腰鬆緊蛋糕裙,fit
91,AB13324,BA6018,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,韓系簡約造型腰頭打褶直筒寬褲,fit
92,AB13324,BA6035,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,濃郁苦甜巧克力絨面光澤坑條寬褲,fit
93,AB13324,CA2221,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,層次一片式斜釦造型磨毛短裙(附腰帶),fit
94,AB13324,KL0978,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,重磅棉質側邊格紋織條休閒褲,wrong
95,AB13324,CA2161,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,質感厚雪紡不易皺交衩撞色A字裙,fit
96,AB13324,BA6000,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,修長腿型！造型釦帶簡約質感直筒落地褲,fit
97,AB13324,BA5905,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,休閒寬鬆綁帶腰鬆緊造型褲管長褲,fit
98,AB13324,BA5912,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,高腰高彈保暖內絨毛踩腳內搭褲,not_fit
99,AB13324,KG0995,高含棉．配色繡釦抓皺荷葉邊寬版連袖上衣,台灣製造．英文造型織帶拼接鬆緊褲口長褲,fit
100,AB13333,BA5883,羅紋領彩繪印花前短後長長版上衣,簡約質感修身格紋西裝長褲,fit
101,AB13333,KS0759,羅紋領彩繪印花前短後長長版上衣,台灣製造．腰鬆緊寬褲管口袋短褲,not_fit
102,AB13333,MA0347,羅紋領彩繪印花前短後長長版上衣,大口袋棉麻孕婦連身褲/孕婦裝,wrong
103,AB13333,CA2090,羅紋領彩繪印花前短後長長版上衣,高含棉A字不規則魚尾拼接牛仔長裙,fit
104,AB13333,BA6006,羅紋領彩繪印花前短後長長版上衣,簡約造型燈芯絨連身吊帶褲,not_fit
105,AB13333,BA5962,羅紋領彩繪印花前短後長長版上衣,高含棉牛仔修身開衩吊帶落地長寬褲,not_fit
106,AB13333,KG0995,羅紋領彩繪印花前短後長長版上衣,台灣製造．英文造型織帶拼接鬆緊褲口長褲,not_fit
107,AB13333,CA2139,羅紋領彩繪印花前短後長長版上衣,保暖毛呢鱷魚紋開衩內裡A字長裙,fit
108,AB13333,CA2163,羅紋領彩繪印花前短後長長版上衣,優雅蕾絲不易皺後腰鬆緊斜開岔短裙,fit
109,AB13333,CA2231,羅紋領彩繪印花前短後長長版上衣,學院文青風保暖磨毛不對稱排釦內裡褲百褶短裙,fit
110,AB13333,CA2156,羅紋領彩繪印花前短後長長版上衣,質感磨毛撞色金屬釦飾造型A字中長裙,fit
111,AB13333,CA2145,羅紋領彩繪印花前短後長長版上衣,質感燈芯絨開衩傘襬中長裙,fit
112,AB13333,BA5980,羅紋領彩繪印花前短後長長版上衣,保暖內刷毛彈力腰鬆緊配色壓線緊身內搭長褲,fit
113,AB13333,QA1162,羅紋領彩繪印花前短後長長版上衣,親子系列~純棉縮腰吊帶褲/連身褲(2色),wrong
114,AB13333,BA5873,羅紋領彩繪印花前短後長長版上衣,視覺-5KG。時尚修身高彈高腰收腹腰鬆緊喇叭長褲,fit
115,AB13333,KB1108,羅紋領彩繪印花前短後長長版上衣,KITTY搖滾系列~純棉雙口袋後V吊帶裙,not_fit
116,AB13333,BA5864,羅紋領彩繪印花前短後長長版上衣,彈力特色腰頭造型口袋刷色九分喇叭牛仔褲,fit
117,AB13333,CA2155,羅紋領彩繪印花前短後長長版上衣,氣質開衩層次百褶拼接後鬆緊A字裙,fit
118,AB13333,CA2254,羅紋領彩繪印花前短後長長版上衣,質感麂皮造型腰頭配色拼接A字長裙,fit
119,AB13333,BA6003,羅紋領彩繪印花前短後長長版上衣,俐落質感排釦不易皺連身長褲(附腰帶),not_fit
120,AB13361,CA2164,知性雙層領雪紡拼色剪接上衣(附綁帶),純色厚雪紡燙鑽膝上圓裙,fit
121,AB13361,CA2122,知性雙層領雪紡拼色剪接上衣(附綁帶),臧芮軒。質感英倫格紋磨毛A字波浪傘襬中長裙,fit
122,AB13361,KG1016,知性雙層領雪紡拼色剪接上衣(附綁帶),放學趣運動縮口長褲,not_fit
123,AB13361,BA6008,知性雙層領雪紡拼色剪接上衣(附綁帶),臧芮軒。配色條紋荷葉鬆緊腰毛紗寬褲,fit
124,AB13361,BA5984,知性雙層領雪紡拼色剪接上衣(附綁帶),純色知性織帶裝飾針織小喇叭褲,fit
125,AB13361,CA2231,知性雙層領雪紡拼色剪接上衣(附綁帶),學院文青風保暖磨毛不對稱排釦內裡褲百褶短裙,fit
126,AB13361,QA1104,知性雙層領雪紡拼色剪接上衣(附綁帶),兔子口袋彈力好動褲/長褲,wrong
127,AB13361,CA2101,知性雙層領雪紡拼色剪接上衣(附綁帶),高含棉．造型口袋修身A字丹寧/牛仔短裙,fit
128,AB13361,QA1190,知性雙層領雪紡拼色剪接上衣(附綁帶),續熱保暖抗菌消臭輕磨毛超彈力褲,wrong
129,AB13361,FA2245,知性雙層領雪紡拼色剪接上衣(附綁帶),側開衩包芯紗立體坑條純色針織中長裙,fit
130,AB13361,CA2203,知性雙層領雪紡拼色剪接上衣(附綁帶),滿版小碎花層次荷葉鬆緊傘襬A字長裙(厚絨內裡),fit
131,AB13361,BA5874,知性雙層領雪紡拼色剪接上衣(附綁帶),純色後鬆緊口袋側開衩拼接壓褶寬褲,fit
132,AB13361,CA2107,知性雙層領雪紡拼色剪接上衣(附綁帶),韓系造型綁結純色A字短褲裙,fit
133,AB13361,CA2083,知性雙層領雪紡拼色剪接上衣(附綁帶),拼接撞色排釦摩登長裙,fit
134,AB13361,BA5831,知性雙層領雪紡拼色剪接上衣(附綁帶),彈性造型剪裁排釦刷破抽鬚窄管牛仔褲,fit
135,AB13361,CA2204,知性雙層領雪紡拼色剪接上衣(附綁帶),臧芮軒。質感滿版印花燈芯絨A字波浪傘襬中長裙,fit
136,AB13361,BA5931,知性雙層領雪紡拼色剪接上衣(附綁帶),高磅數質感打褶修身直筒七分褲,fit
137,AB13361,CA2221,知性雙層領雪紡拼色剪接上衣(附綁帶),層次一片式斜釦造型磨毛短裙(附腰帶),fit
138,AB13361,KG0929,知性雙層領雪紡拼色剪接上衣(附綁帶),皮革造形抽繩腰鬆緊纖瘦長褲,fit
139,AB13361,BA5969,知性雙層領雪紡拼色剪接上衣(附綁帶),質感不易皺修身造型排釦打褶長寬褲,fit
140,AB13378,BA5789,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,純色修身附皮帶壓褶五分褲,fit
141,AB13378,BA5972,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,高含棉率性漸層刷色破損直筒褲腳反摺牛仔褲,fit
142,AB13378,BA5824,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,率性剪裁刷破反摺高彈棉質丹寧/牛仔窄管褲,fit
143,AB13378,KG1013,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,高含棉素色舒適打褶直筒褲,fit
144,AB13378,BA6070,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,純色褶線後腰鬆緊口袋直筒西裝褲/長褲,fit
145,AB13378,QA1104,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,兔子口袋彈力好動褲/長褲,wrong
146,AB13378,CA2220,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,撞色口袋後腰鬆緊造型開衩A字中長裙,fit
147,AB13378,CA2138,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,保暖毛呢學院文青風配色格紋內裡褲百褶短裙,fit
148,AB13378,KL0989,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,簡約純色鬆緊縮口休閒褲,wrong
149,AB13378,CA2068,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,雪紡不對稱荷葉波浪裝飾後鬆緊中長裙,not_fit
150,AB13378,BA5973,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,純色高含棉磨毛牛仔鬆緊腰窄管長褲,fit
151,AB13378,CA2212,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,保暖磨毛修身毛排釦內裡褲A字短裙,fit
152,AB13378,CA2115,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,修身剪裁輕刷毛格紋A字短裙,fit
153,AB13378,BA6015,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,保暖內磨毛彈力造型腰頭不收邊窄管牛仔長褲,fit
154,AB13378,KG0885,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,側邊印花抽繩運動短褲,not_fit
155,AB13378,BA5858,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,純色雪紡不易皺後鬆緊造型腰頭打褶西裝短褲,fit
156,AB13378,CA2195,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,短絨磨毛造型口袋褲裡A字短裙．附方釦皮帶,fit
157,AB13378,CA2179,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,純色麂皮修身後鬆緊綁帶傘擺長裙,not_fit
158,AB13378,BA5861,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,休閒彈力英字印花窄管緊身長褲內搭褲,not_fit
159,AB13378,KG0960,小性感露肩V領拼接荷葉連袖拼色雪紡上衣,刷毛腰抽繩褲管造型休閒長褲,not_fit
160,AB13436,BA5869,臧芮軒。絲滑古典小荷葉長袖上衣,視覺-5KG。名模高挑彈力小喇叭牛仔長褲,fit
161,AB13436,BA6026,臧芮軒。絲滑古典小荷葉長袖上衣,高含棉鬆緊高腰刷色內磨毛彈性窄管牛仔褲,fit
162,AB13436,KS0758,臧芮軒。絲滑古典小荷葉長袖上衣,台灣製造．後腰英文織帶鬆緊運動短褲,not_fit
163,AB13436,KS0735,臧芮軒。絲滑古典小荷葉長袖上衣,台灣製造．火山岩兩穿運動貼腿褲,not_fit
164,AB13436,BA5833,臧芮軒。絲滑古典小荷葉長袖上衣,高含棉．復古丹寧/牛仔高腰直筒小男友褲,fit
165,AB13436,BA5625,臧芮軒。絲滑古典小荷葉長袖上衣,高含棉．率性抓破後腰鬆緊復古小喇叭丹寧/牛仔褲,fit
166,AB13436,BA5842,臧芮軒。絲滑古典小荷葉長袖上衣,輕薄舒爽麻質修身抽繩直筒長褲,fit
167,AB13436,BA5883,臧芮軒。絲滑古典小荷葉長袖上衣,簡約質感修身格紋西裝長褲,fit
168,AB13436,CA2114,臧芮軒。絲滑古典小荷葉長袖上衣,小性感假兩件側開衩高腰鬆緊短褲裙,fit
169,AB13436,BA5889,臧芮軒。絲滑古典小荷葉長袖上衣,純色高含棉修身磨毛高腰修飾線哈倫長褲,not_fit
170,AB13436,CA2231,臧芮軒。絲滑古典小荷葉長袖上衣,學院文青風保暖磨毛不對稱排釦內裡褲百褶短裙,not_fit
171,AB13436,CA2216,臧芮軒。絲滑古典小荷葉長袖上衣,高腰後鬆緊釘珠活片造型A字裙,fit
172,AB13436,BA6064,臧芮軒。絲滑古典小荷葉長袖上衣,高含棉牛仔配色車線開衩長寬褲,fit
173,AB13436,KG0960,臧芮軒。絲滑古典小荷葉長袖上衣,刷毛腰抽繩褲管造型休閒長褲,not_fit
174,AB13436,BA6031,臧芮軒。絲滑古典小荷葉長袖上衣,知性俐落條紋造型綴飾寬褲裙,fit
175,AB13436,CA2177,臧芮軒。絲滑古典小荷葉長袖上衣,輕柔磨毛質感後開衩A字中長裙,fit
176,AB13436,BA5822,臧芮軒。絲滑古典小荷葉長袖上衣,俐落排釦綁帶打褶修身A字短褲,fit
177,AB13436,CA2250,臧芮軒。絲滑古典小荷葉長袖上衣,蕾絲拼接荷葉裙襬內刷毛A字魚尾裙,fit
178,AB13436,BA5789,臧芮軒。絲滑古典小荷葉長袖上衣,純色修身附皮帶壓褶五分褲,fit
179,AB13436,BA5875,臧芮軒。絲滑古典小荷葉長袖上衣,純色質感不易皺後鬆緊修身短褲,fit
180,AB13454,BA5870,涼感肩袖透紗點點荷葉純色上衣,視覺-5KG。纖彈力腰頭加壓收腹修身窄管牛仔長褲,fit
181,AB13454,BA5824,涼感肩袖透紗點點荷葉純色上衣,率性剪裁刷破反摺高彈棉質丹寧/牛仔窄管褲,fit
182,AB13454,CA2235,涼感肩袖透紗點點荷葉純色上衣,優雅滿版個性印花傘襬蛋糕長裙,fit
183,AB13454,BA5916,涼感肩袖透紗點點荷葉純色上衣,質感純色高腰俐落西裝長寬褲(附造型腰帶),fit
184,AB13454,CA2217,涼感肩袖透紗點點荷葉純色上衣,保暖毛呢學院風排釦內裡褲百褶短裙,fit
185,AB13454,BA5928,涼感肩袖透紗點點荷葉純色上衣,甜美假兩件拼接網紗蛋糕層次內搭褲裙,not_fit
186,AB13454,BA5855,涼感肩袖透紗點點荷葉純色上衣,高含棉牛仔高腰口袋修身吊帶落地長寬褲,not_fit
187,AB13454,BA5888,涼感肩袖透紗點點荷葉純色上衣,高含棉高腰收腹雙排釦造型拼接直筒長褲,fit
188,AB13454,BA6012,涼感肩袖透紗點點荷葉純色上衣,保暖純色磨毛修身口袋吊帶寬長褲,not_fit
189,AB13454,CA2221,涼感肩袖透紗點點荷葉純色上衣,層次一片式斜釦造型磨毛短裙(附腰帶),fit
190,AB13454,BA5871,涼感肩袖透紗點點荷葉純色上衣,視覺-5KG。高彈加壓纖腰翹臀窄管褲,fit
191,AB13454,FA2310,涼感肩袖透紗點點荷葉純色上衣,臧芮軒。溫暖針織羅紋條紋透紗長裙,fit
192,AB13454,BA6000,涼感肩袖透紗點點荷葉純色上衣,修長腿型！造型釦帶簡約質感直筒落地褲,fit
193,AB13454,BA5863,涼感肩袖透紗點點荷葉純色上衣,造型小口袋高彈丹寧纖腿窄管褲,fit
194,AB13454,KL0931,涼感肩袖透紗點點荷葉純色上衣,英倫格紋直筒長褲,wrong
195,AB13454,CA2131,涼感肩袖透紗點點荷葉純色上衣,細緻蕾絲拼接抓皺雪紡層次腰鬆緊蛋糕裙,not_fit
196,AB13454,CA2090,涼感肩袖透紗點點荷葉純色上衣,高含棉A字不規則魚尾拼接牛仔長裙,fit
197,AB13454,CA2123,涼感肩袖透紗點點荷葉純色上衣,臧芮軒。細緻蕾絲刺繡不規則拼接波浪魚尾短裙,not_fit
198,AB13454,MA0358,涼感肩袖透紗點點荷葉純色上衣,魔術360~內磨毛彈力孕婦牛仔褲/孕婦褲,wrong
199,AB13454,KL1027,涼感肩袖透紗點點荷葉純色上衣,情侶系列-側邊織條口袋設計休閒褲,wrong
200,AB13455,KL1027,微光壓褶公主袖口鬆緊前短後長上衣,情侶系列-側邊織條口袋設計休閒褲,wrong
201,AB13455,KG1018,微光壓褶公主袖口鬆緊前短後長上衣,放學趣側邊印圖運動長褲,not_fit
202,AB13455,BA5896,微光壓褶公主袖口鬆緊前短後長上衣,高彈力牛仔雙排釦抽鬚緊身長褲,fit
203,AB13455,MA0365,微光壓褶公主袖口鬆緊前短後長上衣,魔術360~坑條壓紋休閒孕婦寬褲/孕婦褲,wrong
204,AB13455,CA2172,微光壓褶公主袖口鬆緊前短後長上衣,純色高含棉修身綁帶腰鬆緊排釦A字長裙,fit
205,AB13455,CA2138,微光壓褶公主袖口鬆緊前短後長上衣,保暖毛呢學院文青風配色格紋內裡褲百褶短裙,fit
206,AB13455,CA2247,微光壓褶公主袖口鬆緊前短後長上衣,優雅氣質花卉麂皮印花魚尾裙,fit
207,AB13455,CA2211,微光壓褶公主袖口鬆緊前短後長上衣,鏤空蕾絲雕花拼接皮革裙襬全腰鬆緊A字長裙,fit
208,AB13455,BA5932,微光壓褶公主袖口鬆緊前短後長上衣,純色質感褲邊鑲鑽鬆緊腰針織直筒褲,fit
