index,款號,款號品類,圖片,搭配款,搭配款品類,搭配款主圖,平拍圖,style1,style2
943,KB1145,上衣,https://image.obdesign.com.tw/catalog/products/KB1145/KB1145@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
944,KB1149,上衣,https://image.obdesign.com.tw/catalog/products/KB1149/KB1149@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
945,KB1154,上衣,https://image.obdesign.com.tw/catalog/products/KB1154/KB1154@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
947,KB1163,上衣,https://image.obdesign.com.tw/catalog/products/KB1163/KB1163@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
7,AB10824,上衣,https://image.obdesign.com.tw/catalog/products/AB10824/AB10824@PIC-8.jpg,BA4037,褲子,https://image.obdesign.com.tw/catalog/products/BA4037/BA4037@1.jpg,,率性休閒,大氣優雅
10,AB10988,上衣,https://image.obdesign.com.tw/catalog/products/AB10988/AB10988@PIC-2.jpg,BA5186,褲子,https://image.obdesign.com.tw/catalog/products/BA5186/BA5186@1.jpg,,溫柔浪漫,大氣優雅
2575,AB11037,未設定,https://image.obdesign.com.tw/catalog/products/AB11037/AB11037@PIC-6.jpg,BA5186,褲子,https://image.obdesign.com.tw/catalog/products/BA5186/BA5186@1.jpg,,溫柔浪漫,大氣優雅
3110,FA2388,未設定,https://image.obdesign.com.tw/catalog/products/FA2388/FA2388@1.jpg,BA5186,褲子,https://image.obdesign.com.tw/catalog/products/BA5186/BA5186@1.jpg,,溫柔浪漫,大氣優雅
12,AB11011,上衣,https://image.obdesign.com.tw/catalog/products/AB11011/AB11011@PIC-5.jpg,BA5247,褲子,https://image.obdesign.com.tw/catalog/products/BA5247/BA5247@1.jpg,,率性休閒,大氣優雅
398,AB14417,上衣,https://image.obdesign.com.tw/catalog/products/AB14417/AB14417@PIC-9.jpg,BA5247,褲子,https://image.obdesign.com.tw/catalog/products/BA5247/BA5247@1.jpg,,率性休閒,大氣優雅
215,AB14408,上衣,https://image.obdesign.com.tw/catalog/products/AB14408/AB14408@1.jpg,BA5247,褲子,https://image.obdesign.com.tw/catalog/products/BA5247/BA5247@1.jpg,,率性休閒,大氣優雅
216,AB14417,上衣,https://image.obdesign.com.tw/catalog/products/AB14417/AB14417@1.jpg,BA5247,褲子,https://image.obdesign.com.tw/catalog/products/BA5247/BA5247@1.jpg,,率性休閒,大氣優雅
17,AB11405,上衣,https://image.obdesign.com.tw/catalog/products/AB11405/AB11405@PIC-10.jpg,BA5342,褲子,https://image.obdesign.com.tw/catalog/products/BA5342/BA5342@1.jpg,,率性休閒,簡約質感
19,AB11515,上衣,https://image.obdesign.com.tw/catalog/products/AB11515/AB11515@PIC-5.jpg,BA5341,褲子,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@CB-T4-1C0ECE7A6444E7383451.png,清新甜美,溫柔浪漫
21,AB11624,上衣,https://image.obdesign.com.tw/catalog/products/AB11624/AB11624@T9-2.jpg,BA5341,褲子,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@CB-T4-1C0ECE7A6444E7383451.png,清新甜美,溫柔浪漫
20,AB11579,上衣,https://image.obdesign.com.tw/catalog/products/AB11579/AB11579@PIC-1.jpg,BA5345,褲子,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@CB-T4-E738E649CE34D0DA7656.png,清新甜美,溫柔浪漫
22,AB11636,上衣,https://image.obdesign.com.tw/catalog/products/AB11636/AB11636@PIC-12.jpg,BA5345,褲子,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@CB-T4-E738E649CE34D0DA7656.png,清新甜美,溫柔浪漫
2588,AB11571,未設定,https://image.obdesign.com.tw/catalog/products/AB11571/AB11571@PIC-8.jpg,BA5345,褲子,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@CB-T4-E738E649CE34D0DA7656.png,清新甜美,溫柔浪漫
26,AB11686,上衣,https://image.obdesign.com.tw/catalog/products/AB11686/AB11686@PIC-6.jpg,BA4418,褲子,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@CB-T4-778562683FF46B2BC287.png,率性休閒,清新甜美
103,AB12592,上衣,https://image.obdesign.com.tw/catalog/products/AB12592/AB12592@PIC-5.jpg,BA4418,褲子,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@CB-T4-778562683FF46B2BC287.png,率性休閒,清新甜美
178,AB13043,上衣,https://image.obdesign.com.tw/catalog/products/AB13043/AB13043@PIC-7.jpg,BA4418,褲子,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@CB-T4-778562683FF46B2BC287.png,率性休閒,清新甜美
539,KB1135,上衣,https://image.obdesign.com.tw/catalog/products/KB1135/KB1135@PIC-4.jpg,BA4418,褲子,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@CB-T4-778562683FF46B2BC287.png,率性休閒,清新甜美
942,KB1135,上衣,https://image.obdesign.com.tw/catalog/products/KB1135/KB1135@1.jpg,BA4418,褲子,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@CB-T4-778562683FF46B2BC287.png,率性休閒,清新甜美
36,AB11895,上衣,https://image.obdesign.com.tw/catalog/products/AB11895/AB11895@PIC-19.jpg,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png,率性休閒,態度個性
51,AB12057,上衣,https://image.obdesign.com.tw/catalog/products/AB12057/AB12057@PIC-6.jpg,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png,率性休閒,態度個性
68,AB12265,上衣,https://image.obdesign.com.tw/catalog/products/AB12265/AB12265@PIC-7.jpg,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png,率性休閒,態度個性
2618,AB12036,未設定,https://image.obdesign.com.tw/catalog/products/AB12036/AB12036@PIC-5.jpg,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png,率性休閒,態度個性
2648,AB12486,未設定,https://image.obdesign.com.tw/catalog/products/AB12486/AB12486@PIC-1.jpg,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png,率性休閒,態度個性
5440,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@PIC-40.jpg,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png,率性休閒,態度個性
879,AB17192,上衣,https://image.obdesign.com.tw/catalog/products/AB17192/AB17192@1.jpg,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png,率性休閒,態度個性
46,AB11975,上衣,https://image.obdesign.com.tw/catalog/products/AB11975/AB11975@PIC-4.jpg,BA4704,褲子,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png,率性休閒,清新甜美
93,AB12489,上衣,https://image.obdesign.com.tw/catalog/products/AB12489/AB12489@PIC-5.jpg,BA4704,褲子,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png,率性休閒,清新甜美
2578,AB11155,未設定,https://image.obdesign.com.tw/catalog/products/AB11155/AB11155@T9-1.jpg,BA4704,褲子,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png,率性休閒,清新甜美
2609,AB11962,未設定,https://image.obdesign.com.tw/catalog/products/AB11962/AB11962@PIC-7.jpg,BA4704,褲子,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png,率性休閒,清新甜美
2636,AB12300,未設定,https://image.obdesign.com.tw/catalog/products/AB12300/AB12300@PIC-6.jpg,BA4704,褲子,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png,率性休閒,清新甜美
2847,EA2927,未設定,https://image.obdesign.com.tw/catalog/products/EA2927/EA2927@PIC-7.jpg,BA4704,褲子,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png,率性休閒,清新甜美
2848,EA2929,未設定,https://image.obdesign.com.tw/catalog/products/EA2929/EA2929@PIC-12.jpg,BA4704,褲子,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png,率性休閒,清新甜美
61,AB12190,上衣,https://image.obdesign.com.tw/catalog/products/AB12190/AB12190@PIC-6.jpg,BA5511,褲子,https://image.obdesign.com.tw/catalog/products/BA5511/BA5511@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5511/BA5511@CB-T4-14E090F487742B39BBE9.png,率性休閒,清新甜美
66,AB12251,上衣,https://image.obdesign.com.tw/catalog/products/AB12251/AB12251@PIC-8.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
167,AB13015,上衣,https://image.obdesign.com.tw/catalog/products/AB13015/AB13015@PIC-1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
184,AB13049,上衣,https://image.obdesign.com.tw/catalog/products/AB13049/AB13049@PIC-9.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
290,AB13617,上衣,https://image.obdesign.com.tw/catalog/products/AB13617/AB13617@PIC-6.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
2574,AB10926,未設定,https://image.obdesign.com.tw/catalog/products/AB10926/AB10926@PIC-8.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
2666,AB12925,未設定,https://image.obdesign.com.tw/catalog/products/AB12925/AB12925@PIC-2.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
2670,AB12932,未設定,https://image.obdesign.com.tw/catalog/products/AB12932/AB12932@PIC-4.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
2675,AB12989,未設定,https://image.obdesign.com.tw/catalog/products/AB12989/AB12989@PIC-2.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
2684,AB13021,未設定,https://image.obdesign.com.tw/catalog/products/AB13021/AB13021@PIC-1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
2720,AB13271,未設定,https://image.obdesign.com.tw/catalog/products/AB13271/AB13271@PIC-2.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
2865,FA2023,未設定,https://image.obdesign.com.tw/catalog/products/FA2023/FA2023@PIC-15.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
70,AB13460,上衣,https://image.obdesign.com.tw/catalog/products/AB13460/AB13460@1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
2765,EA2974,外套,https://image.obdesign.com.tw/catalog/products/EA2974/EA2974@1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
3014,AB12303,未設定,https://image.obdesign.com.tw/catalog/products/AB12303/AB12303@1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
3017,AB12925,未設定,https://image.obdesign.com.tw/catalog/products/AB12925/AB12925@1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
3018,AB12989,未設定,https://image.obdesign.com.tw/catalog/products/AB12989/AB12989@1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
3022,AB13271,未設定,https://image.obdesign.com.tw/catalog/products/AB13271/AB13271@1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
3097,FA2284,未設定,https://image.obdesign.com.tw/catalog/products/FA2284/FA2284@1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
3098,FA2288,未設定,https://image.obdesign.com.tw/catalog/products/FA2288/FA2288@1.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,率性休閒,簡約質感
72,AB12336,上衣,https://image.obdesign.com.tw/catalog/products/AB12336/AB12336@PIC-5.jpg,BA5454,褲子,https://image.obdesign.com.tw/catalog/products/BA5454/BA5454@1.jpg,,率性休閒,清新甜美
77,AB12370,上衣,https://image.obdesign.com.tw/catalog/products/AB12370/AB12370@PIC-6.jpg,BA5556,褲子,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@CB-T4-178BD8E05104A7B8EBEE.png,率性休閒,態度個性
5442,BA5556,褲子,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@PIC-52.jpg,BA5556,褲子,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@CB-T4-178BD8E05104A7B8EBEE.png,率性休閒,態度個性
819,AB16943,上衣,https://image.obdesign.com.tw/catalog/products/AB16943/AB16943@1.jpg,BA5556,褲子,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@CB-T4-178BD8E05104A7B8EBEE.png,率性休閒,態度個性
866,AB17126,上衣,https://image.obdesign.com.tw/catalog/products/AB17126/AB17126@1.jpg,BA5556,褲子,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@CB-T4-178BD8E05104A7B8EBEE.png,率性休閒,態度個性
98,AB12543,上衣,https://image.obdesign.com.tw/catalog/products/AB12543/AB12543@PIC-6.jpg,BA5554,褲子,https://image.obdesign.com.tw/catalog/products/BA5554/BA5554@1.jpg,,清新甜美,溫柔浪漫
248,AB13362,上衣,https://image.obdesign.com.tw/catalog/products/AB13362/AB13362@PIC-2.jpg,BA3911,褲子,https://image.obdesign.com.tw/catalog/products/BA3911/BA3911@1.jpg,https://image.obdesign.com.tw/catalog/products/BA3911/BA3911@CB-T4-3EE1B717ADF492F93DFC.png,率性休閒,清新甜美
280,AB13553,上衣,https://image.obdesign.com.tw/catalog/products/AB13553/AB13553@PIC-1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
292,AB13624,上衣,https://image.obdesign.com.tw/catalog/products/AB13624/AB13624@PIC-5.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
297,AB13659,上衣,https://image.obdesign.com.tw/catalog/products/AB13659/AB13659@PIC-7.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
383,AB14240,上衣,https://image.obdesign.com.tw/catalog/products/AB14240/AB14240@PIC-1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
384,AB14246,上衣,https://image.obdesign.com.tw/catalog/products/AB14246/AB14246@PIC-9.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
387,AB14330,上衣,https://image.obdesign.com.tw/catalog/products/AB14330/AB14330@PIC-6.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
533,KB1112,上衣,https://image.obdesign.com.tw/catalog/products/KB1112/KB1112@T9-1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
546,KB1148,上衣,https://image.obdesign.com.tw/catalog/products/KB1148/KB1148@PIC-2.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
2810,AB14377,未設定,https://image.obdesign.com.tw/catalog/products/AB14377/AB14377@PIC-3.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
2826,DA6275,未設定,https://image.obdesign.com.tw/catalog/products/DA6275/DA6275@T9-1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
62,AB13324,上衣,https://image.obdesign.com.tw/catalog/products/AB13324/AB13324@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
85,AB13651,上衣,https://image.obdesign.com.tw/catalog/products/AB13651/AB13651@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
87,AB13659,上衣,https://image.obdesign.com.tw/catalog/products/AB13659/AB13659@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
88,AB13676,上衣,https://image.obdesign.com.tw/catalog/products/AB13676/AB13676@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
106,AB13815,上衣,https://image.obdesign.com.tw/catalog/products/AB13815/AB13815@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
111,AB13848,上衣,https://image.obdesign.com.tw/catalog/products/AB13848/AB13848@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
113,AB13900,上衣,https://image.obdesign.com.tw/catalog/products/AB13900/AB13900@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
128,AB14004,上衣,https://image.obdesign.com.tw/catalog/products/AB14004/AB14004@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
151,AB14152,上衣,https://image.obdesign.com.tw/catalog/products/AB14152/AB14152@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
