,主款號,主款號品類,主款圖,搭配款,搭配款品類,搭配款主圖,平拍圖
35,AB10130,上衣,https://image.obdesign.com.tw/catalog/products/AB10130/AB10130@1.jpg,BA4177,未設定,https://image.obdesign.com.tw/catalog/products/BA4177/BA4177@1.jpg,
36,AB10130,上衣,https://image.obdesign.com.tw/catalog/products/AB10130/AB10130@1.jpg,BA4885,褲子,https://image.obdesign.com.tw/catalog/products/BA4885/BA4885@1.jpg,
37,AB10212,上衣,https://image.obdesign.com.tw/catalog/products/AB10212/AB10212@1.jpg,BA4931,褲子,https://image.obdesign.com.tw/catalog/products/BA4931/BA4931@1.jpg,
38,AB10212,上衣,https://image.obdesign.com.tw/catalog/products/AB10212/AB10212@1.jpg,KG0569,褲子,https://image.obdesign.com.tw/catalog/products/KG0569/KG0569@1.jpg,
39,AB10305,上衣,https://image.obdesign.com.tw/catalog/products/AB10305/AB10305@1.jpg,BA4871,褲子,https://image.obdesign.com.tw/catalog/products/BA4871/BA4871@1.jpg,
40,AB10305,上衣,https://image.obdesign.com.tw/catalog/products/AB10305/AB10305@1.jpg,KG0453,未設定,https://image.obdesign.com.tw/catalog/products/KG0453/KG0453@1.jpg,
41,AB10307,未設定,https://image.obdesign.com.tw/catalog/products/AB10307/AB10307@1.jpg,BA4957,褲子,https://image.obdesign.com.tw/catalog/products/BA4957/BA4957@1.jpg,
42,AB10307,未設定,https://image.obdesign.com.tw/catalog/products/AB10307/AB10307@1.jpg,CA1659,未設定,https://image.obdesign.com.tw/catalog/products/CA1659/CA1659@1.jpg,
43,AB10324,上衣,https://image.obdesign.com.tw/catalog/products/AB10324/AB10324@1.jpg,BA4990,未設定,https://image.obdesign.com.tw/catalog/products/BA4990/BA4990@1.jpg,
44,AB10324,上衣,https://image.obdesign.com.tw/catalog/products/AB10324/AB10324@1.jpg,BA5021,未設定,https://image.obdesign.com.tw/catalog/products/BA5021/BA5021@1.jpg,
45,AB10404,上衣,https://image.obdesign.com.tw/catalog/products/AB10404/AB10404@1.jpg,BA5113,未設定,https://image.obdesign.com.tw/catalog/products/BA5113/BA5113@1.jpg,
46,AB10404,上衣,https://image.obdesign.com.tw/catalog/products/AB10404/AB10404@1.jpg,CA1605,未設定,https://image.obdesign.com.tw/catalog/products/CA1605/CA1605@1.jpg,
47,AB10429,上衣,https://image.obdesign.com.tw/catalog/products/AB10429/AB10429@1.jpg,CA1645,未設定,https://image.obdesign.com.tw/catalog/products/CA1645/CA1645@1.jpg,
48,AB10429,上衣,https://image.obdesign.com.tw/catalog/products/AB10429/AB10429@1.jpg,CA1685,裙子,https://image.obdesign.com.tw/catalog/products/CA1685/CA1685@1.jpg,
49,AB10549,上衣,https://image.obdesign.com.tw/catalog/products/AB10549/AB10549@1.jpg,BA4931,褲子,https://image.obdesign.com.tw/catalog/products/BA4931/BA4931@1.jpg,
50,AB10549,上衣,https://image.obdesign.com.tw/catalog/products/AB10549/AB10549@1.jpg,BA5042,未設定,https://image.obdesign.com.tw/catalog/products/BA5042/BA5042@1.jpg,
51,AB10552,上衣,https://image.obdesign.com.tw/catalog/products/AB10552/AB10552@1.jpg,BA4172,未設定,https://image.obdesign.com.tw/catalog/products/BA4172/BA4172@1.jpg,
52,AB10552,上衣,https://image.obdesign.com.tw/catalog/products/AB10552/AB10552@1.jpg,BA5090,未設定,https://image.obdesign.com.tw/catalog/products/BA5090/BA5090@1.jpg,
53,AB10615,上衣,https://image.obdesign.com.tw/catalog/products/AB10615/AB10615@1.jpg,BA4795,未設定,https://image.obdesign.com.tw/catalog/products/BA4795/BA4795@1.jpg,
54,AB10650,上衣,https://image.obdesign.com.tw/catalog/products/AB10650/AB10650@1.jpg,BA4172,未設定,https://image.obdesign.com.tw/catalog/products/BA4172/BA4172@1.jpg,
55,AB10863,上衣,https://image.obdesign.com.tw/catalog/products/AB10863/AB10863@1.jpg,EA1268,未設定,https://image.obdesign.com.tw/catalog/products/EA1268/EA1268@1.jpg,
56,AB10906,上衣,https://image.obdesign.com.tw/catalog/products/AB10906/AB10906@1.jpg,ZC1527,未設定,https://image.obdesign.com.tw/catalog/products/ZC1527/ZC1527@1.jpg,
57,AB10923,未設定,https://image.obdesign.com.tw/catalog/products/AB10923/AB10923@1.jpg,BA5178,未設定,https://image.obdesign.com.tw/catalog/products/BA5178/BA5178@1.jpg,
58,AB10972,上衣,https://image.obdesign.com.tw/catalog/products/AB10972/AB10972@1.jpg,EA3236,外套,https://image.obdesign.com.tw/catalog/products/EA3236/EA3236@1.jpg,
59,AB10972,上衣,https://image.obdesign.com.tw/catalog/products/AB10972/AB10972@1.jpg,EA3236,外套,https://image.obdesign.com.tw/catalog/products/EA3236/EA3236@1.jpg,
60,AB10997,未設定,https://image.obdesign.com.tw/catalog/products/AB10997/AB10997@1.jpg,EA1608,外套,https://image.obdesign.com.tw/catalog/products/EA1608/EA1608@1.jpg,
61,AB11014,上衣,https://image.obdesign.com.tw/catalog/products/AB11014/AB11014@1.jpg,BA2258,未設定,https://image.obdesign.com.tw/catalog/products/BA2258/BA2258@1.jpg,
62,AB11014,上衣,https://image.obdesign.com.tw/catalog/products/AB11014/AB11014@1.jpg,CA1713,裙子,https://image.obdesign.com.tw/catalog/products/CA1713/CA1713@1.jpg,
63,AB11018,上衣,https://image.obdesign.com.tw/catalog/products/AB11018/AB11018@1.jpg,BA4795,未設定,https://image.obdesign.com.tw/catalog/products/BA4795/BA4795@1.jpg,
64,AB11047,上衣,https://image.obdesign.com.tw/catalog/products/AB11047/AB11047@1.jpg,BA5024,褲子,https://image.obdesign.com.tw/catalog/products/BA5024/BA5024@1.jpg,
65,AB11047,上衣,https://image.obdesign.com.tw/catalog/products/AB11047/AB11047@1.jpg,BA5189,褲子,https://image.obdesign.com.tw/catalog/products/BA5189/BA5189@1.jpg,
66,AB11060,未設定,https://image.obdesign.com.tw/catalog/products/AB11060/AB11060@1.jpg,BA5270,未設定,https://image.obdesign.com.tw/catalog/products/BA5270/BA5270@1.jpg,
67,AB11060,未設定,https://image.obdesign.com.tw/catalog/products/AB11060/AB11060@1.jpg,CA1738,未設定,https://image.obdesign.com.tw/catalog/products/CA1738/CA1738@1.jpg,
68,AB11112,未設定,https://image.obdesign.com.tw/catalog/products/AB11112/AB11112@1.jpg,CA1693,未設定,https://image.obdesign.com.tw/catalog/products/CA1693/CA1693@1.jpg,
69,AB11168,上衣,https://image.obdesign.com.tw/catalog/products/AB11168/AB11168@1.jpg,ZC1589,未設定,https://image.obdesign.com.tw/catalog/products/ZC1589/ZC1589@1.jpg,
70,AB11283,上衣,https://image.obdesign.com.tw/catalog/products/AB11283/AB11283@1.jpg,EA2768,未設定,https://image.obdesign.com.tw/catalog/products/EA2768/EA2768@1.jpg,
71,AB11283,上衣,https://image.obdesign.com.tw/catalog/products/AB11283/AB11283@1.jpg,ZC1689,未設定,https://image.obdesign.com.tw/catalog/products/ZC1689/ZC1689@1.jpg,
72,AB11351,上衣,https://image.obdesign.com.tw/catalog/products/AB11351/AB11351@1.jpg,ZB0740,未設定,https://image.obdesign.com.tw/catalog/products/ZB0740/ZB0740@1.jpg,
73,AB11421,未設定,https://image.obdesign.com.tw/catalog/products/AB11421/AB11421@1.jpg,CA2170,未設定,https://image.obdesign.com.tw/catalog/products/CA2170/CA2170@1.jpg,
74,AB11421,未設定,https://image.obdesign.com.tw/catalog/products/AB11421/AB11421@1.jpg,EA3046,未設定,https://image.obdesign.com.tw/catalog/products/EA3046/EA3046@1.jpg,
75,AB11449,上衣,https://image.obdesign.com.tw/catalog/products/AB11449/AB11449@1.jpg,EA2870,未設定,https://image.obdesign.com.tw/catalog/products/EA2870/EA2870@1.jpg,
76,AB11452,上衣,https://image.obdesign.com.tw/catalog/products/AB11452/AB11452@1.jpg,EA2859,外套,https://image.obdesign.com.tw/catalog/products/EA2859/EA2859@1.jpg,
77,AB11458,上衣,https://image.obdesign.com.tw/catalog/products/AB11458/AB11458@1.jpg,EA2403,外套,https://image.obdesign.com.tw/catalog/products/EA2403/EA2403@1.jpg,
78,AB11458,上衣,https://image.obdesign.com.tw/catalog/products/AB11458/AB11458@1.jpg,EA2861,外套,https://image.obdesign.com.tw/catalog/products/EA2861/EA2861@1.jpg,
79,AB11494,上衣,https://image.obdesign.com.tw/catalog/products/AB11494/AB11494@1.jpg,CA1797,裙子,https://image.obdesign.com.tw/catalog/products/CA1797/CA1797@1.jpg,
80,AB11513,上衣,https://image.obdesign.com.tw/catalog/products/AB11513/AB11513@1.jpg,BA6013,褲子,https://image.obdesign.com.tw/catalog/products/BA6013/BA6013@1.jpg,
81,AB11518,上衣,https://image.obdesign.com.tw/catalog/products/AB11518/AB11518@1.jpg,EA2867,未設定,https://image.obdesign.com.tw/catalog/products/EA2867/EA2867@1.jpg,
82,AB11518,上衣,https://image.obdesign.com.tw/catalog/products/AB11518/AB11518@1.jpg,ZC1768,未設定,https://image.obdesign.com.tw/catalog/products/ZC1768/ZC1768@1.jpg,
83,AB11519,未設定,https://image.obdesign.com.tw/catalog/products/AB11519/AB11519@1.jpg,FA2170,未設定,https://image.obdesign.com.tw/catalog/products/FA2170/FA2170@1.jpg,
84,AB11526,未設定,https://image.obdesign.com.tw/catalog/products/AB11526/AB11526@1.jpg,EA2784,未設定,https://image.obdesign.com.tw/catalog/products/EA2784/EA2784@1.jpg,
85,AB11551,上衣,https://image.obdesign.com.tw/catalog/products/AB11551/AB11551@1.jpg,EA2818,未設定,https://image.obdesign.com.tw/catalog/products/EA2818/EA2818@1.jpg,
86,AB11587,上衣,https://image.obdesign.com.tw/catalog/products/AB11587/AB11587@1.jpg,EA2826,未設定,https://image.obdesign.com.tw/catalog/products/EA2826/EA2826@1.jpg,
87,AB11592,上衣,https://image.obdesign.com.tw/catalog/products/AB11592/AB11592@1.jpg,AB12039,上衣,https://image.obdesign.com.tw/catalog/products/AB12039/AB12039@1.jpg,
88,AB11592,上衣,https://image.obdesign.com.tw/catalog/products/AB11592/AB11592@1.jpg,CA1639,未設定,https://image.obdesign.com.tw/catalog/products/CA1639/CA1639@1.jpg,
89,AB11609,上衣,https://image.obdesign.com.tw/catalog/products/AB11609/AB11609@1.jpg,EA2433,未設定,https://image.obdesign.com.tw/catalog/products/EA2433/EA2433@1.jpg,
90,AB11612,上衣,https://image.obdesign.com.tw/catalog/products/AB11612/AB11612@1.jpg,EA2762,未設定,https://image.obdesign.com.tw/catalog/products/EA2762/EA2762@1.jpg,
91,AB11612,上衣,https://image.obdesign.com.tw/catalog/products/AB11612/AB11612@1.jpg,EA2826,未設定,https://image.obdesign.com.tw/catalog/products/EA2826/EA2826@1.jpg,
92,AB11640,未設定,https://image.obdesign.com.tw/catalog/products/AB11640/AB11640@1.jpg,BA5363,未設定,https://image.obdesign.com.tw/catalog/products/BA5363/BA5363@1.jpg,
93,AB11640,未設定,https://image.obdesign.com.tw/catalog/products/AB11640/AB11640@1.jpg,ZC1778,未設定,https://image.obdesign.com.tw/catalog/products/ZC1778/ZC1778@1.jpg,
94,AB11646,上衣,https://image.obdesign.com.tw/catalog/products/AB11646/AB11646@1.jpg,ZC1789,未設定,https://image.obdesign.com.tw/catalog/products/ZC1789/ZC1789@1.jpg,
95,AB11647,上衣,https://image.obdesign.com.tw/catalog/products/AB11647/AB11647@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png
96,AB11684,未設定,https://image.obdesign.com.tw/catalog/products/AB11684/AB11684@1.jpg,ZC1789,未設定,https://image.obdesign.com.tw/catalog/products/ZC1789/ZC1789@1.jpg,
97,AB11703,上衣,https://image.obdesign.com.tw/catalog/products/AB11703/AB11703@1.jpg,EA2795,未設定,https://image.obdesign.com.tw/catalog/products/EA2795/EA2795@1.jpg,
98,AB11735,未設定,https://image.obdesign.com.tw/catalog/products/AB11735/AB11735@1.jpg,AB11691,未設定,https://image.obdesign.com.tw/catalog/products/AB11691/AB11691@1.jpg,
99,AB11735,未設定,https://image.obdesign.com.tw/catalog/products/AB11735/AB11735@1.jpg,EA2738,外套,https://image.obdesign.com.tw/catalog/products/EA2738/EA2738@1.jpg,
100,AB11822,上衣,https://image.obdesign.com.tw/catalog/products/AB11822/AB11822@1.jpg,QA1013,上衣,https://image.obdesign.com.tw/catalog/products/QA1013/QA1013@1.jpg,
101,AB11832,上衣,https://image.obdesign.com.tw/catalog/products/AB11832/AB11832@1.jpg,ZC1812,未設定,https://image.obdesign.com.tw/catalog/products/ZC1812/ZC1812@1.jpg,
102,AB11849,未設定,https://image.obdesign.com.tw/catalog/products/AB11849/AB11849@1.jpg,DA7186,未設定,https://image.obdesign.com.tw/catalog/products/DA7186/DA7186@1.jpg,
103,AB11849,未設定,https://image.obdesign.com.tw/catalog/products/AB11849/AB11849@1.jpg,EA2797,未設定,https://image.obdesign.com.tw/catalog/products/EA2797/EA2797@1.jpg,
104,AB11858,上衣,https://image.obdesign.com.tw/catalog/products/AB11858/AB11858@1.jpg,BA5426,未設定,https://image.obdesign.com.tw/catalog/products/BA5426/BA5426@1.jpg,
105,AB11858,上衣,https://image.obdesign.com.tw/catalog/products/AB11858/AB11858@1.jpg,QA1023,上衣,https://image.obdesign.com.tw/catalog/products/QA1023/QA1023@1.jpg,
106,AB11865,上衣,https://image.obdesign.com.tw/catalog/products/AB11865/AB11865@1.jpg,EA2910,外套,https://image.obdesign.com.tw/catalog/products/EA2910/EA2910@1.jpg,
107,AB11871,上衣,https://image.obdesign.com.tw/catalog/products/AB11871/AB11871@1.jpg,CA1769,裙子,https://image.obdesign.com.tw/catalog/products/CA1769/CA1769@1.jpg,
108,AB11878,上衣,https://image.obdesign.com.tw/catalog/products/AB11878/AB11878@1.jpg,EA2934,未設定,https://image.obdesign.com.tw/catalog/products/EA2934/EA2934@1.jpg,
109,AB11889,上衣,https://image.obdesign.com.tw/catalog/products/AB11889/AB11889@1.jpg,EA2724,未設定,https://image.obdesign.com.tw/catalog/products/EA2724/EA2724@1.jpg,
110,AB11895,上衣,https://image.obdesign.com.tw/catalog/products/AB11895/AB11895@1.jpg,ZC1814,未設定,https://image.obdesign.com.tw/catalog/products/ZC1814/ZC1814@1.jpg,
111,AB11914,上衣,https://image.obdesign.com.tw/catalog/products/AB11914/AB11914@1.jpg,BA4773,未設定,https://image.obdesign.com.tw/catalog/products/BA4773/BA4773@1.jpg,
112,AB11969,未設定,https://image.obdesign.com.tw/catalog/products/AB11969/AB11969@1.jpg,EA2783,外套,https://image.obdesign.com.tw/catalog/products/EA2783/EA2783@1.jpg,https://image.obdesign.com.tw/catalog/products/EA2783/EA2783@CB-T4-57377AED6884B5D93954.png
113,AB11995,未設定,https://image.obdesign.com.tw/catalog/products/AB11995/AB11995@1.jpg,CA1915,未設定,https://image.obdesign.com.tw/catalog/products/CA1915/CA1915@1.jpg,
114,AB12007,上衣,https://image.obdesign.com.tw/catalog/products/AB12007/AB12007@1.jpg,BA5258,褲子,https://image.obdesign.com.tw/catalog/products/BA5258/BA5258@1.jpg,
115,AB12016,未設定,https://image.obdesign.com.tw/catalog/products/AB12016/AB12016@1.jpg,BA5253,未設定,https://image.obdesign.com.tw/catalog/products/BA5253/BA5253@1.jpg,
116,AB12016,未設定,https://image.obdesign.com.tw/catalog/products/AB12016/AB12016@1.jpg,CA1832,未設定,https://image.obdesign.com.tw/catalog/products/CA1832/CA1832@1.jpg,
117,AB12021,上衣,https://image.obdesign.com.tw/catalog/products/AB12021/AB12021@1.jpg,CA2545,裙子,https://image.obdesign.com.tw/catalog/products/CA2545/CA2545@1.jpg,https://image.obdesign.com.tw/catalog/products/CA2545/CA2545@CB-T4-BDE6D37ADCC4ADE97FCA.png
118,AB12021,上衣,https://image.obdesign.com.tw/catalog/products/AB12021/AB12021@1.jpg,EA2947,外套,https://image.obdesign.com.tw/catalog/products/EA2947/EA2947@1.jpg,https://image.obdesign.com.tw/catalog/products/EA2947/EA2947@CB-T4-8A3B563C0F54466AFE4E.png
119,AB12021,上衣,https://image.obdesign.com.tw/catalog/products/AB12021/AB12021@1.jpg,ZA2947,未設定,https://image.obdesign.com.tw/catalog/products/ZA2947/ZA2947@1.jpg,
120,AB12024,上衣,https://image.obdesign.com.tw/catalog/products/AB12024/AB12024@1.jpg,BA5499,未設定,https://image.obdesign.com.tw/catalog/products/BA5499/BA5499@1.jpg,
121,AB12035,上衣,https://image.obdesign.com.tw/catalog/products/AB12035/AB12035@1.jpg,FA2003,未設定,https://image.obdesign.com.tw/catalog/products/FA2003/FA2003@1.jpg,
122,AB12038,上衣,https://image.obdesign.com.tw/catalog/products/AB12038/AB12038@1.jpg,FA1967,未設定,https://image.obdesign.com.tw/catalog/products/FA1967/FA1967@1.jpg,
123,AB12054,上衣,https://image.obdesign.com.tw/catalog/products/AB12054/AB12054@1.jpg,ZC1813,未設定,https://image.obdesign.com.tw/catalog/products/ZC1813/ZC1813@1.jpg,
124,AB12069,上衣,https://image.obdesign.com.tw/catalog/products/AB12069/AB12069@1.jpg,ZC1801,未設定,https://image.obdesign.com.tw/catalog/products/ZC1801/ZC1801@1.jpg,
125,AB12085,未設定,https://image.obdesign.com.tw/catalog/products/AB12085/AB12085@1.jpg,ZC1813,未設定,https://image.obdesign.com.tw/catalog/products/ZC1813/ZC1813@1.jpg,
126,AB12095,上衣,https://image.obdesign.com.tw/catalog/products/AB12095/AB12095@1.jpg,BA4803,未設定,https://image.obdesign.com.tw/catalog/products/BA4803/BA4803@1.jpg,
127,AB12095,上衣,https://image.obdesign.com.tw/catalog/products/AB12095/AB12095@1.jpg,ZC1819,未設定,https://image.obdesign.com.tw/catalog/products/ZC1819/ZC1819@1.jpg,
128,AB12130,上衣,https://image.obdesign.com.tw/catalog/products/AB12130/AB12130@1.jpg,BA5076,未設定,https://image.obdesign.com.tw/catalog/products/BA5076/BA5076@1.jpg,
129,AB12130,上衣,https://image.obdesign.com.tw/catalog/products/AB12130/AB12130@1.jpg,BA5465,褲子,https://image.obdesign.com.tw/catalog/products/BA5465/BA5465@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5465/BA5465@CB-T4-4D6D7E49B9B471699292.png
130,AB12131,上衣,https://image.obdesign.com.tw/catalog/products/AB12131/AB12131@1.jpg,EA2920,未設定,https://image.obdesign.com.tw/catalog/products/EA2920/EA2920@1.jpg,
131,AB12140,上衣,https://image.obdesign.com.tw/catalog/products/AB12140/AB12140@1.jpg,BA4803,未設定,https://image.obdesign.com.tw/catalog/products/BA4803/BA4803@1.jpg,
132,AB12141,上衣,https://image.obdesign.com.tw/catalog/products/AB12141/AB12141@1.jpg,CA1853,未設定,https://image.obdesign.com.tw/catalog/products/CA1853/CA1853@1.jpg,
133,AB12146,上衣,https://image.obdesign.com.tw/catalog/products/AB12146/AB12146@1.jpg,BA5605,褲子,https://image.obdesign.com.tw/catalog/products/BA5605/BA5605@1.jpg,
134,AB12146,上衣,https://image.obdesign.com.tw/catalog/products/AB12146/AB12146@1.jpg,DA7561,裙子,https://image.obdesign.com.tw/catalog/products/DA7561/DA7561@1.jpg,
135,AB12151,上衣,https://image.obdesign.com.tw/catalog/products/AB12151/AB12151@1.jpg,ZC1845,未設定,https://image.obdesign.com.tw/catalog/products/ZC1845/ZC1845@1.jpg,
136,AB12180,上衣,https://image.obdesign.com.tw/catalog/products/AB12180/AB12180@1.jpg,AB12009,未設定,https://image.obdesign.com.tw/catalog/products/AB12009/AB12009@1.jpg,
137,AB12180,上衣,https://image.obdesign.com.tw/catalog/products/AB12180/AB12180@1.jpg,EA2930,未設定,https://image.obdesign.com.tw/catalog/products/EA2930/EA2930@1.jpg,
138,AB12212,上衣,https://image.obdesign.com.tw/catalog/products/AB12212/AB12212@1.jpg,EA2797,未設定,https://image.obdesign.com.tw/catalog/products/EA2797/EA2797@1.jpg,
139,AB12213,上衣,https://image.obdesign.com.tw/catalog/products/AB12213/AB12213@1.jpg,EA2923,未設定,https://image.obdesign.com.tw/catalog/products/EA2923/EA2923@1.jpg,
140,AB12242,上衣,https://image.obdesign.com.tw/catalog/products/AB12242/AB12242@1.jpg,EA2767,外套,https://image.obdesign.com.tw/catalog/products/EA2767/EA2767@1.jpg,
141,AB12252,未設定,https://image.obdesign.com.tw/catalog/products/AB12252/AB12252@1.jpg,EA2914,未設定,https://image.obdesign.com.tw/catalog/products/EA2914/EA2914@1.jpg,
142,AB12256,上衣,https://image.obdesign.com.tw/catalog/products/AB12256/AB12256@1.jpg,BA5433,褲子,https://image.obdesign.com.tw/catalog/products/BA5433/BA5433@1.jpg,
