,No,StyleBookID,main_url,mainID,top1,top2,bottom,accessory1,accessory2
71,72,2022080974701544,https://image.obdesign.com.tw/catalog/products/BA6843/BA6843@1.jpg,BA6843,,,BA6843,,
72,73,2022080980718065,https://image.obdesign.com.tw/catalog/products/CA2634/CA2634@1.jpg,CA2634,AB17554,,CA2634,,
73,74,2022081810687273,https://image.obdesign.com.tw/catalog/products/AB17493/AB17493@1.jpg,AB17493,AB17493,,CA2629,,
74,75,2022082206402246,https://image.obdesign.com.tw/catalog/products/CA2632/CA2632@1.jpg,CA2632,EA3339,,SD0386,,
75,76,2022082211268600,https://image.obdesign.com.tw/catalog/products/MA0536/MA0536@1.jpg,MA0536,MA0536,MA0275,,,
76,77,2022082213502350,https://image.obdesign.com.tw/catalog/products/AB17510/AB17510@1.jpg,AB17510,AB17510,,BA6323,,
77,78,2022082226130919,https://image.obdesign.com.tw/catalog/products/AB17696/AB17696@1.jpg,AB17696,AB17696,,BA6863,,
78,79,2022082227966952,https://image.obdesign.com.tw/catalog/products/MA0534/MA0534@1.jpg,MA0534,MA0534,MA0574,,,
79,80,2022082232324578,https://image.obdesign.com.tw/catalog/products/CA2640/CA2640@1.jpg,CA2640,AB17506,AB17585,CA2640,,
80,81,2022082232450576,https://image.obdesign.com.tw/catalog/products/DA9422/DA9422@1.jpg,DA9422,EA3349,,DA9422,,
81,82,2022082234997173,https://image.obdesign.com.tw/catalog/products/FA1528/FA1528@1.jpg,FA1528,FA1528,EA3140,BA6660,,
82,83,2022082237037178,https://image.obdesign.com.tw/catalog/products/AB17511/AB17511@1.jpg,AB17511,AB17511,,CA2575,,
83,84,2022082243028317,https://image.obdesign.com.tw/catalog/products/BA6840/BA6840@1.jpg,BA6840,AB17594,,BA6840,,
84,85,2022082243256687,https://image.obdesign.com.tw/catalog/products/MA0537/MA0537@1.jpg,MA0537,MA0537,MA0286,,,
85,86,2022082245613921,https://image.obdesign.com.tw/catalog/products/FA2579/FA2579@1.jpg,FA2579,FA2579,EA3378,,,
86,87,2022082247120956,https://image.obdesign.com.tw/catalog/products/AB17502/AB17502@1.jpg,AB17502,AB17502,FA1969,BA2779,,
87,88,2022082251626578,https://image.obdesign.com.tw/catalog/products/AB17561/AB17561@1.jpg,AB17561,AB17561,,KG1091,ZC2740,
88,89,2022082253442419,https://image.obdesign.com.tw/catalog/products/BA6842/BA6842@1.jpg,BA6842,AB17712,,BA6842,,
89,90,2022082258542344,https://image.obdesign.com.tw/catalog/products/BA6930/BA6930@1.jpg,BA6930,AB17579,,BA6930,,
90,91,2022082261869779,https://image.obdesign.com.tw/catalog/products/MA0554/MA0554@1.jpg,MA0554,MA0554,MA0557,,,
91,92,2022082265620930,https://image.obdesign.com.tw/catalog/products/AB17625/AB17625@1.jpg,AB17625,AB17625,,BA2779,,
92,93,2022082265852317,https://image.obdesign.com.tw/catalog/products/MA0552/MA0552@1.jpg,MA0552,MA0552,MA0575,,,
93,94,2022082268481738,https://image.obdesign.com.tw/catalog/products/AB17647/AB17647@1.jpg,AB17647,AB17647,FA2660,CA2543,,
94,95,2022082270133775,https://image.obdesign.com.tw/catalog/products/AB17606/AB17606@1.jpg,AB17606,AB17606,,BA6660,,
95,96,2022082270936862,https://image.obdesign.com.tw/catalog/products/MA0501/MA0501@1.jpg,MA0501,MA0501,,,,
96,97,2022082276619598,https://image.obdesign.com.tw/catalog/products/AB17521/AB17521@1.jpg,AB17521,AB17521,,,,
97,98,2022082278531320,https://image.obdesign.com.tw/catalog/products/DA9460/DA9460@1.jpg,DA9460,,,DA9460,,
98,99,2022082278905941,https://image.obdesign.com.tw/catalog/products/AB17550/AB17550@1.jpg,AB17550,AB17550,,BA6681,,
99,100,2022082284533888,https://image.obdesign.com.tw/catalog/products/AB17602/AB17602@1.jpg,AB17602,AB17602,,BA6840,,
100,101,2022082285279721,https://image.obdesign.com.tw/catalog/products/AB17592/AB17592@1.jpg,AB17592,AB17592,FA1969,BA6840,,
101,102,2022082286690016,https://image.obdesign.com.tw/catalog/products/DA9415/DA9415@1.jpg,DA9415,EA3324,,DA9415,,
102,103,2022082286764253,https://image.obdesign.com.tw/catalog/products/MA0534/MA0534@1.jpg,MA0534,MA0534,,BA6323,,
103,104,2022082286787020,https://image.obdesign.com.tw/catalog/products/AB17523/AB17523@1.jpg,AB17523,AB17523,,BA6681,YA414,
104,105,2022082290771832,https://image.obdesign.com.tw/catalog/products/AB17494/AB17494@1.jpg,AB17494,AB17494,,CA2274,,
105,106,2022082292204642,https://image.obdesign.com.tw/catalog/products/AB16214/AB16214@1.jpg,AB16214,AB16214,,,ZC2686,
106,107,2022082297557522,https://image.obdesign.com.tw/catalog/products/BA6824/BA6824@1.jpg,BA6824,AB17591,,BA6824,,
107,108,2022082299168052,https://image.obdesign.com.tw/catalog/products/DA9427/DA9427@1.jpg,DA9427,AB17506,,DA9427,,
108,109,2022082500864840,https://image.obdesign.com.tw/catalog/products/BA6838/BA6838@1.jpg,BA6838,AB17139,,BA6838,ZC2728,
109,110,2022082501550742,https://image.obdesign.com.tw/catalog/products/AB17637/AB17637@1.jpg,AB17637,AB17637,,BA6859,,
110,111,2022082503408078,https://image.obdesign.com.tw/catalog/products/DA9412/DA9412@1.jpg,DA9412,,,DA9412,,
111,112,2022082505754087,https://image.obdesign.com.tw/catalog/products/AB17564/AB17564@1.jpg,AB17564,AB17564,EA3339,BA6859,,
112,113,2022082514809022,https://image.obdesign.com.tw/catalog/products/AB17529/AB17529@1.jpg,AB17529,AB17529,,SD0386,YA415,
113,114,2022082516161924,https://image.obdesign.com.tw/catalog/products/BA6913/BA6913@1.jpg,BA6913,AB17564,,BA6913,,
114,115,2022082516161924,https://image.obdesign.com.tw/catalog/products/AB17564/AB17564@1.jpg,AB17564,AB17564,,BA6913,,
115,116,2022082516206689,https://image.obdesign.com.tw/catalog/products/AB17624/AB17624@1.jpg,AB17624,AB17624,,SD0386,ZC2709,
116,117,2022082520563710,https://image.obdesign.com.tw/catalog/products/ZC2732/ZC2732@1.jpg,ZC2732,,,BA6912,ZC2732,
117,118,2022082529963252,https://image.obdesign.com.tw/catalog/products/EA3368/EA3368@1.jpg,EA3368,EA3368,AB17139,BA6838,ZC2728,
118,119,2022082535265621,https://image.obdesign.com.tw/catalog/products/CA2635/CA2635@1.jpg,CA2635,AB17639,,CA2635,,
119,120,2022082545130387,https://image.obdesign.com.tw/catalog/products/BA6857/BA6857@1.jpg,BA6857,FA2580,AB17056,BA6857,,
120,121,2022082546451152,https://image.obdesign.com.tw/catalog/products/AB17657/AB17657@1.jpg,AB17657,AB17657,,BA6876,,
121,122,2022082546451152,https://image.obdesign.com.tw/catalog/products/BA6876/BA6876@1.jpg,BA6876,AB17657,,BA6876,,
122,123,2022082548966597,https://image.obdesign.com.tw/catalog/products/FA2679/FA2679@1.jpg,FA2679,FA2679,,BA6931,,
123,124,2022082567556580,https://image.obdesign.com.tw/catalog/products/EA3360/EA3360@1.jpg,EA3360,EA3360,FA2678,,,
124,125,2022082570774635,https://image.obdesign.com.tw/catalog/products/AB17681/AB17681@1.jpg,AB17681,AB17681,,BA6838,,
125,126,2022082575650055,https://image.obdesign.com.tw/catalog/products/AB17736/AB17736@1.jpg,AB17736,AB17736,,BA6838,YA415,
126,127,2022082577244093,https://image.obdesign.com.tw/catalog/products/ZC2676/ZC2676@1.jpg,ZC2676,AB17657,,BA6865,ZC2676,ZC2735
127,128,2022082578536118,https://image.obdesign.com.tw/catalog/products/AB17616/AB17616@1.jpg,AB17616,AB17616,,BA6866,,
128,129,2022082587918839,https://image.obdesign.com.tw/catalog/products/BA6951/BA6951@1.jpg,BA6951,,,BA6951,,
129,130,2022082654211196,https://image.obdesign.com.tw/catalog/products/AB17734/AB17734@1.jpg,AB17734,AB17734,,BA6857,,
130,131,2022082655123802,https://image.obdesign.com.tw/catalog/products/CA2638/CA2638@1.jpg,CA2638,AB17736,,CA2638,,
131,132,2022082660593537,https://image.obdesign.com.tw/catalog/products/BA6876/BA6876@1.jpg,BA6876,FA2679,AB17681,BA6876,,
132,133,2022082674855150,https://image.obdesign.com.tw/catalog/products/EA3339/EA3339@1.jpg,EA3339,EA3339,AB17532,BA6913,,
133,134,2022082688996424,https://image.obdesign.com.tw/catalog/products/CA2643/CA2643@1.jpg,CA2643,AB17003,,CA2643,ZC2676,
134,135,2022082690273157,https://image.obdesign.com.tw/catalog/products/AB17558/AB17558@1.jpg,AB17558,AB17558,,BA6865,,
135,136,2022090252447035,https://image.obdesign.com.tw/catalog/products/EA3358/EA3358@1.jpg,EA3358,EA3358,,BA6652,,
136,137,2022090600364417,https://image.obdesign.com.tw/catalog/products/AB17571/AB17571@1.jpg,AB17571,AB17571,,DA8700,,
137,138,2022090606299969,https://image.obdesign.com.tw/catalog/products/AB17636/AB17636@1.jpg,AB17636,AB17636,,CA2239,,
138,139,2022090616392775,https://image.obdesign.com.tw/catalog/products/DA9416/DA9416@1.jpg,DA9416,,,DA9416,,
139,140,2022090627390573,https://image.obdesign.com.tw/catalog/products/AB17583/AB17583@1.jpg,AB17583,AB17583,,BA6635,,
140,141,2022090628324013,https://image.obdesign.com.tw/catalog/products/AB17573/AB17573@1.jpg,AB17573,AB17573,,BA6294,,
141,142,2022090632542397,https://image.obdesign.com.tw/catalog/products/AB17630/AB17630@1.jpg,AB17630,AB17630,,CA2625,,
142,143,2022090649979586,https://image.obdesign.com.tw/catalog/products/AB17641/AB17641@1.jpg,AB17641,AB17641,,CA2538,ZC2687,
143,144,2022090652931855,https://image.obdesign.com.tw/catalog/products/AB17642/AB17642@1.jpg,AB17642,AB17642,,CA2623,,
144,145,2022090653263846,https://image.obdesign.com.tw/catalog/products/AB17618/AB17618@1.jpg,AB17618,AB17618,,BA6727,ZC2687,
145,146,2022090653842643,https://image.obdesign.com.tw/catalog/products/AB17522/AB17522@1.jpg,AB17522,AB17522,,CA2294,,
146,147,2022090673956632,https://image.obdesign.com.tw/catalog/products/AB17491/AB17491@1.jpg,AB17491,AB17491,,CA2541,,
147,148,2022090680028284,https://image.obdesign.com.tw/catalog/products/AB17619/AB17619@1.jpg,AB17619,AB17619,,CA2397,,
148,149,2022091563159763,https://image.obdesign.com.tw/catalog/products/BA6866/BA6866@1.jpg,BA6866,AB17139,EA3405,BA6866,ZC2755,
149,150,2022091585064084,https://image.obdesign.com.tw/catalog/products/DA9413/DA9413@1.jpg,DA9413,,,DA9413,,
150,151,2022091601389186,https://image.obdesign.com.tw/catalog/products/AB17720/AB17720@1.jpg,AB17720,AB17720,,BA6854,,
151,152,2022091606534405,https://image.obdesign.com.tw/catalog/products/CA2652/CA2652@1.jpg,CA2652,,,CA2652,,
152,153,2022091609374862,https://image.obdesign.com.tw/catalog/products/CA2655/CA2655@1.jpg,CA2655,EA3405,,CA2655,,
153,154,2022091619102311,https://image.obdesign.com.tw/catalog/products/AB17648/AB17648@1.jpg,AB17648,AB17648,,BA6534,YA408,
154,155,2022091620823576,https://image.obdesign.com.tw/catalog/products/AB17640/AB17640@1.jpg,AB17640,AB17640,,BA6861,,
155,156,2022091622310744,https://image.obdesign.com.tw/catalog/products/AB17649/AB17649@1.jpg,AB17649,AB17649,,BA6911,,
156,157,2022091633957420,https://image.obdesign.com.tw/catalog/products/DA9447/DA9447@1.jpg,DA9447,,,DA9447,ZC2766,ZC2764
157,158,2022091635280117,https://image.obdesign.com.tw/catalog/products/BA6854/BA6854@1.jpg,BA6854,EA3316,AB17751,BA6854,,
158,159,2022091643515588,https://image.obdesign.com.tw/catalog/products/AB17701/AB17701@1.jpg,AB17701,AB17701,,BA6534,,
159,160,2022091648853896,https://image.obdesign.com.tw/catalog/products/FA2642/FA2642@1.jpg,FA2642,FA2642,AB17645,CA1860,YA411,
160,161,2022091650119807,https://image.obdesign.com.tw/catalog/products/AB17645/AB17645@1.jpg,AB17645,AB17645,EA3190,,,
161,162,2022091653880922,https://image.obdesign.com.tw/catalog/products/DA9434/DA9434@1.jpg,DA9434,,,DA9434,,
162,163,2022091657914842,https://image.obdesign.com.tw/catalog/products/DA8945/DA8945@1.jpg,DA8945,,,DA8945,ZC2753,ZC2766
163,164,2022091663922473,https://image.obdesign.com.tw/catalog/products/AB17718/AB17718@1.jpg,AB17718,AB17718,EA3208,BA6869,,
164,165,2022091665889326,https://image.obdesign.com.tw/catalog/products/BA6869/BA6869@1.jpg,BA6869,FA2684,,BA6869,ZC2753,
165,166,2022091672521466,https://image.obdesign.com.tw/catalog/products/AB17544/AB17544@1.jpg,AB17544,AB17544,,CA2576,ZC2764,ZC2762
166,167,2022091684324323,https://image.obdesign.com.tw/catalog/products/EA3395/EA3395@1.jpg,EA3395,EA3395,AB17670,BA6596,,
167,168,2022091684354528,https://image.obdesign.com.tw/catalog/products/AB17697/AB17697@1.jpg,AB17697,AB17697,EA3400,BA6861,,
168,169,2022091686043989,https://image.obdesign.com.tw/catalog/products/AB16177/AB16177@1.jpg,AB16177,AB16177,,CA2440,,
169,170,2022091691786517,https://image.obdesign.com.tw/catalog/products/DA9411/DA9411@1.jpg,DA9411,EA3316,,DA9411,,
170,171,2022091693041216,https://image.obdesign.com.tw/catalog/products/AB16325/AB16325@1.jpg,AB16325,AB16325,FA2624,BA6854,,
171,172,2022091693979467,https://image.obdesign.com.tw/catalog/products/AB17674/AB17674@1.jpg,AB17674,AB17674,,CA2576,YA408,
172,173,2022091695016480,https://image.obdesign.com.tw/catalog/products/DA9436/DA9436@1.jpg,DA9436,,,DA9436,ZC2762,
173,174,2022091902711714,https://image.obdesign.com.tw/catalog/products/AB17829/AB17829@1.jpg,AB17829,AB17829,EA3141,,,
174,175,2022091906169237,https://image.obdesign.com.tw/catalog/products/AB17861/AB17861@1.jpg,AB17861,AB17861,,CA2490,,
175,176,2022091906994245,https://image.obdesign.com.tw/catalog/products/FA2659/FA2659@1.jpg,FA2659,FA2659,,CA2662,,
176,177,2022091906994245,https://image.obdesign.com.tw/catalog/products/CA2662/CA2662@1.jpg,CA2662,FA2659,,CA2662,,
177,178,2022091916326773,https://image.obdesign.com.tw/catalog/products/DA9449/DA9449@1.jpg,DA9449,,,DA9449,,
178,179,2022091922853029,https://image.obdesign.com.tw/catalog/products/AB17851/AB17851@1.jpg,AB17851,AB17851,,BA6965,,
179,180,2022091922853029,https://image.obdesign.com.tw/catalog/products/BA6965/BA6965@1.jpg,BA6965,AB17851,,BA6965,,
180,181,2022091924959582,https://image.obdesign.com.tw/catalog/products/DA9451/DA9451@1.jpg,DA9451,,,DA9451,,
181,182,2022091926178922,https://image.obdesign.com.tw/catalog/products/KB1422/KB1422@1.jpg,KB1422,,,,,
182,183,2022091953645490,https://image.obdesign.com.tw/catalog/products/DA8909/DA8909@1.jpg,DA8909,,,DA8909,,
183,184,2022091975081242,https://image.obdesign.com.tw/catalog/products/KB1412/KB1412@1.jpg,KB1412,,,,,
184,185,2022091985844647,https://image.obdesign.com.tw/catalog/products/AB17834/AB17834@1.jpg,AB17834,AB17834,,BA5213,,
185,186,2022091991532194,https://image.obdesign.com.tw/catalog/products/KB1425/KB1425@1.jpg,KB1425,EA3088,,,,
186,187,2022092012211831,https://image.obdesign.com.tw/catalog/products/CA2646/CA2646@1.jpg,CA2646,AB17622,,CA2646,,
187,188,2022092024036707,https://image.obdesign.com.tw/catalog/products/CA2650/CA2650@1.jpg,CA2650,AB16027,EA3395,CA2650,ZC2799,
188,189,2022092034952577,https://image.obdesign.com.tw/catalog/products/DA9419/DA9419@1.jpg,DA9419,,,DA9419,,
189,190,2022092055866912,https://image.obdesign.com.tw/catalog/products/AB17628/AB17628@1.jpg,AB17628,AB17628,,CA2631,,
190,191,2022092099445230,https://image.obdesign.com.tw/catalog/products/FA2626/FA2626@1.jpg,FA2626,FA2626,EA2617,BA6865,,
191,192,2022092102930391,https://image.obdesign.com.tw/catalog/products/DA9409/DA9409@1.jpg,DA9409,,,DA9409,,
192,193,2022092103333878,https://image.obdesign.com.tw/catalog/products/QA1569/QA1569@1.jpg,QA1569,QA1569,QA1567,,,
193,194,2022092103519554,https://image.obdesign.com.tw/catalog/products/QA1564/QA1564@1.jpg,QA1564,QA1564,QA1571,,,
194,195,2022092104456802,https://image.obdesign.com.tw/catalog/products/BA6862/BA6862@1.jpg,BA6862,AB17721,,BA6862,,
195,196,2022092107220271,https://image.obdesign.com.tw/catalog/products/QA1566/QA1566@1.jpg,QA1566,QA1566,QA1568,,,
196,197,2022092110097521,https://image.obdesign.com.tw/catalog/products/AB17530/AB17530@1.jpg,AB17530,AB17530,,BA6845,,
197,198,2022092112164246,https://image.obdesign.com.tw/catalog/products/AB17608/AB17608@1.jpg,AB17608,AB17608,,CA2598,,
198,199,2022092112491300,https://image.obdesign.com.tw/catalog/products/CA2653/CA2653@1.jpg,CA2653,AB17549,,CA2653,,
199,200,2022092118435401,https://image.obdesign.com.tw/catalog/products/AB17620/AB17620@1.jpg,AB17620,AB17620,,BA6851,,
200,201,2022092120737251,https://image.obdesign.com.tw/catalog/products/FA2683/FA2683@1.jpg,FA2683,FA2683,AB17139,BA6845,,
201,202,2022092123077123,https://image.obdesign.com.tw/catalog/products/CA2645/CA2645@1.jpg,CA2645,AB17530,,CA2645,,
202,203,2022092123478540,https://image.obdesign.com.tw/catalog/products/BA6852/BA6852@1.jpg,BA6852,,,BA6852,,
203,204,2022092123617898,https://image.obdesign.com.tw/catalog/products/FA1732/FA1732@1.jpg,FA1732,FA1732,,,,
204,205,2022092130948580,https://image.obdesign.com.tw/catalog/products/DA9424/DA9424@1.jpg,DA9424,EA3347,,DA9424,,
205,206,2022092133609613,https://image.obdesign.com.tw/catalog/products/CA2657/CA2657@1.jpg,CA2657,AB17721,,CA2657,,
206,207,2022092143804583,https://image.obdesign.com.tw/catalog/products/AB17600/AB17600@1.jpg,AB17600,AB17600,FA2667,BA6020,,
207,208,2022092144044898,https://image.obdesign.com.tw/catalog/products/QA1562/QA1562@1.jpg,QA1562,QA1562,QA1565,,,
208,209,2022092148914522,https://image.obdesign.com.tw/catalog/products/BA6851/BA6851@1.jpg,BA6851,,,BA6851,,
209,210,2022092150595804,https://image.obdesign.com.tw/catalog/products/AB17656/AB17656@1.jpg,AB17656,AB17656,,CA2581,,
210,211,2022092154924772,https://image.obdesign.com.tw/catalog/products/AB17610/AB17610@1.jpg,AB17610,AB17610,,BA6596,,
211,212,2022092168888194,https://image.obdesign.com.tw/catalog/products/DA9464/DA9464@1.jpg,DA9464,AB16926,,BA6534,,
212,213,2022092175389663,https://image.obdesign.com.tw/catalog/products/KG1453/KG1453@1.jpg,KG1453,,,KG1453,,
