,款號,款號品類,款號_style1,款號_style2,圖片,搭配款,搭配款品類,搭配款_style1,搭配款_style2,搭配款主圖,平拍圖
10,AB10988,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10988/AB10988@1.jpg,BA5186,褲子,甜美_浪漫,大氣優雅,https://image.obdesign.com.tw/catalog/products/BA5186/BA5186@1.jpg,
11,AB10998,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10998/AB10998@1.jpg,BA5213,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png
12,AB11011,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11011/AB11011@1.jpg,BA5247,褲子,休閒_個性,大氣優雅,https://image.obdesign.com.tw/catalog/products/BA5247/BA5247@1.jpg,
13,AB11017,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11017/AB11017@1.jpg,BA4886,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
14,AB11022,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11022/AB11022@1.jpg,BA2983,褲子,,,https://image.obdesign.com.tw/catalog/products/BA2983/BA2983@1.jpg,
15,AB11122,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11122/AB11122@1.jpg,BA5172,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5172/BA5172@1.jpg,
16,AB11405,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11405/AB11405@1.jpg,BA5342,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5342/BA5342@1.jpg,
17,AB11478,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB11478/AB11478@1.jpg,BA5258,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5258/BA5258@1.jpg,
18,AB11515,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11515/AB11515@1.jpg,BA5341,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@CB-T4-1C0ECE7A6444E7383451.png
19,AB11579,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11579/AB11579@1.jpg,BA5345,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@CB-T4-E738E649CE34D0DA7656.png
20,AB11624,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB11624/AB11624@1.jpg,BA5341,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@CB-T4-1C0ECE7A6444E7383451.png
21,AB11636,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11636/AB11636@1.jpg,BA5345,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@CB-T4-E738E649CE34D0DA7656.png
22,AB11647,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11647/AB11647@1.jpg,BA5263,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5263/BA5263@1.jpg,
23,AB11658,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11658/AB11658@1.jpg,BA5381,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5381/BA5381@1.jpg,
24,AB11658,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11658/AB11658@1.jpg,BA5263,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5263/BA5263@1.jpg,
25,AB11686,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11686/AB11686@1.jpg,BA4418,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@CB-T4-778562683FF46B2BC287.png
26,AB11690,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11690/AB11690@1.jpg,BA5317,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5317/BA5317@1.jpg,
27,AB11692,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11692/AB11692@1.jpg,BA5263,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5263/BA5263@1.jpg,
28,AB11737,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11737/AB11737@1.jpg,BA5321,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5321/BA5321@1.jpg,
29,AB11790,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11790/AB11790@1.jpg,BA5315,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5315/BA5315@1.jpg,
30,AB11832,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11832/AB11832@1.jpg,BA4886,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
31,AB11834,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11834/AB11834@1.jpg,BA4887,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@CB-T4-C49B9FB332142D988CC8.png
32,AB11839,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11839/AB11839@1.jpg,BA4562,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4562/BA4562@1.jpg,
33,AB11855,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11855/AB11855@1.jpg,BA5396,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@CB-T4-408A6D81A274500B39C8.png
34,AB11872,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11872/AB11872@1.jpg,BA5399,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5399/BA5399@1.jpg,
35,AB11895,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11895/AB11895@1.jpg,BA5468,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png
36,AB11941,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11941/AB11941@1.jpg,BA4887,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@CB-T4-C49B9FB332142D988CC8.png
37,AB11942,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11942/AB11942@1.jpg,BA5624,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
38,AB11950,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11950/AB11950@1.jpg,BA5012,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5012/BA5012@1.jpg,
39,AB11958,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11958/AB11958@1.jpg,BA4933,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4933/BA4933@1.jpg,
40,AB11965,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11965/AB11965@1.jpg,BA5595,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5595/BA5595@1.jpg,
41,AB11965,上衣,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/AB11965/AB11965@1.jpg,BA5458,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5458/BA5458@1.jpg,
42,AB11967,上衣,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/AB11967/AB11967@1.jpg,BA5478,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5478/BA5478@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5478/BA5478@CB-T4-2A81D4AB0CD4C22A8CB1.png
43,AB11968,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11968/AB11968@1.jpg,BA4933,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4933/BA4933@1.jpg,
44,AB11973,上衣,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/AB11973/AB11973@1.jpg,BA5458,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5458/BA5458@1.jpg,
45,AB11975,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11975/AB11975@1.jpg,BA4704,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png
46,AB11994,上衣,,,https://image.obdesign.com.tw/catalog/products/AB11994/AB11994@1.jpg,BA5491,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5491/BA5491@1.jpg,
47,AB12043,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB12043/AB12043@1.jpg,BA5292,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5292/BA5292@1.jpg,
48,AB12043,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12043/AB12043@1.jpg,BA5528,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5528/BA5528@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5528/BA5528@CB-T4-140592D523540009347B.png
49,AB12043,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12043/AB12043@1.jpg,BA5467,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5467/BA5467@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5467/BA5467@CB-T4-2BD7CDAD354497988416.png
50,AB12057,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12057/AB12057@1.jpg,BA5468,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png
51,AB12070,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12070/AB12070@1.jpg,BA5503,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5503/BA5503@1.jpg,
52,AB12077,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12077/AB12077@1.jpg,BA5450,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5450/BA5450@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5450/BA5450@CB-T4-9C5AC6217CE4DB2B49A5.png
53,AB12113,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12113/AB12113@1.jpg,BA5292,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5292/BA5292@1.jpg,
54,AB12126,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12126/AB12126@1.jpg,BA5415,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5415/BA5415@1.jpg,
55,AB12129,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12129/AB12129@1.jpg,BA1017,褲子,,,https://image.obdesign.com.tw/catalog/products/BA1017/BA1017@1.jpg,https://image.obdesign.com.tw/catalog/products/BA1017/BA1017@CB-T4-C6C395BE3794806BACF9.png
56,AB12134,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12134/AB12134@1.jpg,BA5263,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5263/BA5263@1.jpg,
57,AB12141,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12141/AB12141@1.jpg,BA4930,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4930/BA4930@1.jpg,
58,AB12144,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12144/AB12144@1.jpg,BA5415,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5415/BA5415@1.jpg,
59,AB12151,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12151/AB12151@1.jpg,BA5503,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5503/BA5503@1.jpg,
60,AB12190,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12190/AB12190@1.jpg,BA5511,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5511/BA5511@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5511/BA5511@CB-T4-14E090F487742B39BBE9.png
61,AB12218,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB12218/AB12218@1.jpg,BA5510,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5510/BA5510@1.jpg,
62,AB12221,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12221/AB12221@1.jpg,BA5458,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5458/BA5458@1.jpg,
63,AB12226,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12226/AB12226@1.jpg,BA5450,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5450/BA5450@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5450/BA5450@CB-T4-9C5AC6217CE4DB2B49A5.png
64,AB12243,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB12243/AB12243@1.jpg,BA5167,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5167/BA5167@1.jpg,
65,AB12251,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12251/AB12251@1.jpg,BA4292,褲子,休閒_個性,簡約質感,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,
66,AB12265,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12265/AB12265@1.jpg,BA5505,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5505/BA5505@1.jpg,
67,AB12265,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12265/AB12265@1.jpg,BA5468,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png
68,AB12294,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12294/AB12294@1.jpg,BA5536,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5536/BA5536@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5536/BA5536@CB-T4-C5B6AA3C92D410B8C01E.png
69,AB12325,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12325/AB12325@1.jpg,BA5518,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5518/BA5518@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5518/BA5518@CB-T4-014D99B6D0A40E6B94C6.png
70,AB12335,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12335/AB12335@1.jpg,BA2098,褲子,,,https://image.obdesign.com.tw/catalog/products/BA2098/BA2098@1.jpg,https://image.obdesign.com.tw/catalog/products/BA2098/BA2098@CB-T4-0D3C9F852CD4BA1B3207.png
71,AB12336,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12336/AB12336@1.jpg,BA5454,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5454/BA5454@1.jpg,
72,AB12339,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12339/AB12339@1.jpg,BA5469,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5469/BA5469@1.jpg,
73,AB12339,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12339/AB12339@1.jpg,BA5012,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5012/BA5012@1.jpg,
74,AB12368,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12368/AB12368@1.jpg,BA5450,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5450/BA5450@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5450/BA5450@CB-T4-9C5AC6217CE4DB2B49A5.png
75,AB12369,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12369/AB12369@1.jpg,BA5510,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5510/BA5510@1.jpg,
76,AB12370,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12370/AB12370@1.jpg,BA5556,褲子,休閒_個性,,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5556/BA5556@CB-T4-178BD8E05104A7B8EBEE.png
77,AB12398,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12398/AB12398@1.jpg,BA5515,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5515/BA5515@1.jpg,
78,AB12399,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12399/AB12399@1.jpg,BA5487,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5487/BA5487@1.jpg,
79,AB12401,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12401/AB12401@1.jpg,BA4972,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA4972/BA4972@1.jpg,
80,AB12402,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12402/AB12402@1.jpg,BA4733,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4733/BA4733@1.jpg,
81,AB12404,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12404/AB12404@1.jpg,BA5531,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5531/BA5531@1.jpg,
82,AB12404,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12404/AB12404@1.jpg,BA5458,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5458/BA5458@1.jpg,
83,AB12412,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12412/AB12412@1.jpg,BA5455,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5455/BA5455@1.jpg,
84,AB12414,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12414/AB12414@1.jpg,BA5574,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5574/BA5574@1.jpg,
85,AB12414,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12414/AB12414@1.jpg,BA5595,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5595/BA5595@1.jpg,
86,AB12421,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB12421/AB12421@1.jpg,BA5500,褲子,,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5500/BA5500@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5500/BA5500@CB-T4-F89E04B7C054EF4B73E8.png
87,AB12423,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12423/AB12423@1.jpg,BA5582,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5582/BA5582@1.jpg,
88,AB12430,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12430/AB12430@1.jpg,BA5510,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5510/BA5510@1.jpg,
89,AB12451,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12451/AB12451@1.jpg,BA5597,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5597/BA5597@1.jpg,
90,AB12470,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12470/AB12470@1.jpg,BA5485,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5485/BA5485@1.jpg,
91,AB12487,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB12487/AB12487@1.jpg,BA5255,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5255/BA5255@1.jpg,
92,AB12489,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12489/AB12489@1.jpg,BA4704,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4704/BA4704@CB-T4-42673C111B9488BAF0B4.png
93,AB12501,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12501/AB12501@1.jpg,BA5469,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5469/BA5469@1.jpg,
94,AB12513,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12513/AB12513@1.jpg,BA5518,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5518/BA5518@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5518/BA5518@CB-T4-014D99B6D0A40E6B94C6.png
95,AB12522,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12522/AB12522@1.jpg,BA5515,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5515/BA5515@1.jpg,
96,AB12526,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12526/AB12526@1.jpg,BA5545,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5545/BA5545@1.jpg,
97,AB12543,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12543/AB12543@1.jpg,BA5554,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5554/BA5554@1.jpg,
98,AB12545,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12545/AB12545@1.jpg,BA4203,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4203/BA4203@1.jpg,
99,AB12546,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12546/AB12546@1.jpg,BA5471,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5471/BA5471@1.jpg,
100,AB12546,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12546/AB12546@1.jpg,BA5574,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5574/BA5574@1.jpg,
101,AB12547,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12547/AB12547@1.jpg,BA5150,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5150/BA5150@1.jpg,
102,AB12592,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12592/AB12592@1.jpg,BA4418,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@CB-T4-778562683FF46B2BC287.png
103,AB12592,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12592/AB12592@1.jpg,BA5518,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5518/BA5518@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5518/BA5518@CB-T4-014D99B6D0A40E6B94C6.png
104,AB12597,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12597/AB12597@1.jpg,BA5574,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5574/BA5574@1.jpg,
105,AB12597,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB12597/AB12597@1.jpg,BA5464,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5464/BA5464@1.jpg,
106,AB12602,上衣,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/AB12602/AB12602@1.jpg,BA5503,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5503/BA5503@1.jpg,
107,AB12611,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12611/AB12611@1.jpg,BA5458,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5458/BA5458@1.jpg,
108,AB12638,上衣,率性休閒,清新甜美,https://image.obdesign.com.tw/catalog/products/AB12638/AB12638@1.jpg,BA5601,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5601/BA5601@1.jpg,
109,AB12646,上衣,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/AB12646/AB12646@1.jpg,BA5455,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5455/BA5455@1.jpg,
110,AB12650,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12650/AB12650@1.jpg,BA5646,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5646/BA5646@1.jpg,
111,AB12650,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12650/AB12650@1.jpg,BA5458,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5458/BA5458@1.jpg,
112,AB12653,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12653/AB12653@1.jpg,BA5624,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
113,AB12660,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12660/AB12660@1.jpg,BA5469,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5469/BA5469@1.jpg,
114,AB12664,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12664/AB12664@1.jpg,BA5733,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5733/BA5733@1.jpg,
115,AB12664,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12664/AB12664@1.jpg,BA5679,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5679/BA5679@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5679/BA5679@CB-T4-8E13BC344084A8FB2C17.png
116,AB12680,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12680/AB12680@1.jpg,BA5464,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5464/BA5464@1.jpg,
117,AB12680,上衣,,,https://image.obdesign.com.tw/catalog/products/AB12680/AB12680@1.jpg,BA5646,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5646/BA5646@1.jpg,
